,name,location,2011,2012,2013,2014,2015,2016,2017,2018
189,University of Cincinnati,United States,61.5,69.0,69.5,69.3,67.8,72.1,75.4,82.0
190,Drexel University,United States,58.2,59.4,65.1,56.2,57.5,57.7,62.0,68.5
191,Yonsei University,South Korea,52.2,36.9,48.6,44.2,44.3,39.4,44.0,
192,Dalhousie University,Canada,48.8,43.0,54.3,50.3,54.4,65.2,70.7,74.3
193,KTH Royal Institute of Technology,Sweden,29.2,34.1,49.1,55.6,55.1,63.9,67.4,67.0
194,University of Vienna,Austria,45.6,45.2,52.4,57.4,56.3,63.6,65.9,66.0
195,Kent State University,United States,76.8,58.3,,,,53.8,64.6,60.2
196,University of Illinois at Chicago,United States,34.7,43.3,52.9,56.2,55.1,63.2,69.6,68.2
197,Zhejiang University,China,44.3,23.0,32.6,36.5,40.2,36.1,44.5,45.1
198,Simon Fraser University,Canada,60.2,53.0,61.0,66.7,67.6,72.8,77.0,75.6
199,Swedish University of Agricultural Sciences,Sweden,41.7,49.8,54.6,59.3,59.9,68.1,77.7,79.3
