,location,name,nid,rank,rank_order,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,percentage_male,stats_number_students,stats_pc_intl_students,stats_student_staff_ratio,subjects_offered,url,male_students
40,Germany,Technical University of Munich,552,41,41,88.4,118,100.0,9,66.8,253,73.5,71.2,46,60.3,50,66.0,38689,23%,54.4,"Chemical Engineering,Business & Management,General Engineering,Mechanical & Aerospace Engineering,Other Health,Computer Science,Sport Science,Mathematics & Statistics,Biological Sciences,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Chemistry,Architecture,Medicine & Dentistry,Agriculture & Forestry,Physics & Astronomy,Civil Engineering,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Education",/world-university-rankings/technical-university-munich,25534.0
41,Canada,McGill University,492,42,42,84.7,158,39.8,491,87.5,85,73.2,70.8,48,63.4,42,43.0,30940,26%,13.3,"Sociology,Computer Science,Communication & Media Studies,Medicine & Dentistry,Mathematics & Statistics,Education,Architecture,Mechanical & Aerospace Engineering,Agriculture & Forestry,Physics & Astronomy,Electrical & Electronic Engineering,Other Health,Geology, Environmental, Earth & Marine Sciences,General Engineering,Chemical Engineering,Biological Sciences,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,History, Philosophy & Theology,Civil Engineering,Business & Management,Psychology,Accounting & Finance,Economics & Econometrics,Chemistry,Geography,Law",/world-university-rankings/mcgill-university,13304.0
42,United States,University of Wisconsin-Madison,491,43,43,86.5,140,45.8,344,43.4,559,73.1,73.9,38,68.4,33,49.0,38960,12%,10.7,"Medicine & Dentistry,Communication & Media Studies,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Electrical & Electronic Engineering,Chemical Engineering,Architecture,Physics & Astronomy,Education,Veterinary Science,Psychology,Mechanical & Aerospace Engineering,Chemistry,Law,Other Health,Agriculture & Forestry,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Sport Science,General Engineering,Business & Management,Economics & Econometrics,Sociology,Geography,Computer Science,Mathematics & Statistics,Civil Engineering,History, Philosophy & Theology,Accounting & Finance,Art, Performing Arts & Design",/world-university-rankings/university-wisconsin-madison,19090.0
43,Hong Kong,Hong Kong University of Science and Technology,526,44,44,93.1,71,58.1,201,83.4,113,72.7,68.4,50,55.2,67,31.0,10214,31%,23.1,"Business & Management,Mechanical & Aerospace Engineering,Chemical Engineering,Chemistry,Economics & Econometrics,Civil Engineering,Computer Science,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Sociology,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Accounting & Finance,Sport Science,General Engineering",/world-university-rankings/hong-kong-university-science-and-technology,
44,Germany,Heidelberg University,537,45,45,94.2,63,56.0,220,64.7,271,72.3,62.2,69,63.6,41,45.0,28876,17%,23.2,"Economics & Econometrics,Education,Computer Science,Archaeology,Physics & Astronomy,Medicine & Dentistry,Chemistry,Geography,Other Health,Politics & International Studies (incl Development Studies),Biological Sciences,Psychology,Mathematics & Statistics,Sociology,Languages, Literature & Linguistics,Sport Science,Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences,Law,History, Philosophy & Theology",/world-university-rankings/heidelberg-university-0,12994.0
45,Japan,The University of Tokyo,494,46,46,63.7,393,52.7,247,32.2,737,72.2,85.2,21,79.5,17,64.0,26000,10%,6.7,"Economics & Econometrics,History, Philosophy & Theology,Art, Performing Arts & Design,Biological Sciences,Law,Languages, Literature & Linguistics,Chemical Engineering,Sport Science,Medicine & Dentistry,Archaeology,Architecture,Agriculture & Forestry,Veterinary Science,Politics & International Studies (incl Development Studies),Education,Communication & Media Studies,Mechanical & Aerospace Engineering,Business & Management,Mathematics & Statistics,Geography,Other Health,Accounting & Finance,Physics & Astronomy,Psychology,Computer Science,Civil Engineering,Sociology,Chemistry,Geology, Environmental, Earth & Marine Sciences,General Engineering,Electrical & Electronic Engineering",/world-university-rankings/university-tokyo,
46,Belgium,KU Leuven,531,47,47,88.7,113,99.9,12,68.3,240,71.8,70.9,47,54.2,70,50.0,44412,15%,37.1,"Chemistry,Computer Science,Mechanical & Aerospace Engineering,Other Health,Accounting & Finance,Biological Sciences,Communication & Media Studies,Sociology,Politics & International Studies (incl Development Studies),Psychology,Chemical Engineering,Economics & Econometrics,Archaeology,General Engineering,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Sport Science,History, Philosophy & Theology,Physics & Astronomy,Law,Geography,Art, Performing Arts & Design,Agriculture & Forestry,Education,Languages, Literature & Linguistics,Architecture,Electrical & Electronic Engineering,Business & Management,Medicine & Dentistry,Civil Engineering",/world-university-rankings/ku-leuven,22206.0
47,Australia,Australian National University,502,48,48,85.5,149,61.1,184,94.3,29,71.6,72.0,41,52.7,81,48.0,15986,35%,19.3,"General Engineering,Communication & Media Studies,Politics & International Studies (incl Development Studies),Accounting & Finance,History, Philosophy & Theology,Physics & Astronomy,Law,Economics & Econometrics,Art, Performing Arts & Design,Geography,Agriculture & Forestry,Geology, Environmental, Earth & Marine Sciences,Sociology,Biological Sciences,Mechanical & Aerospace Engineering,Chemistry,Business & Management,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Mathematics & Statistics,Psychology,Other Health,Computer Science,Archaeology,Medicine & Dentistry",/world-university-rankings/australian-national-university,7673.0
48,United States,University of Texas at Austin,493,49,49,95.7,48,48.2,306,36.7,661,71.4,68.3,51,60.9,48,49.0,48561,10%,17.1,"General Engineering,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Law,Computer Science,Chemical Engineering,Languages, Literature & Linguistics,Other Health,Sport Science,Archaeology,History, Philosophy & Theology,Art, Performing Arts & Design,Biological Sciences,Psychology,Architecture,Physics & Astronomy,Geography,Sociology,Communication & Media Studies,Economics & Econometrics,Mathematics & Statistics,Civil Engineering,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Education,Chemistry,Electrical & Electronic Engineering,Business & Management",/world-university-rankings/university-texas-austin,23794.0
49,United States,Brown University,513,=50,50,96.7,38,34.1,783,59.0,331,70.8,57.9,78,63.8,40,47.0,8898,20%,10.7,"Medicine & Dentistry,Business & Management,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Architecture,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Archaeology,Communication & Media Studies,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Geography,Chemistry,Mathematics & Statistics,Physics & Astronomy,Politics & International Studies (incl Development Studies),Psychology,Other Health,General Engineering,Sociology,Chemical Engineering,Art, Performing Arts & Design,Computer Science,Economics & Econometrics,Education",/world-university-rankings/brown-university,
50,United States,Washington University in St Louis,505,=50,51,99.4,13,36.9,622,52.1,418,70.8,59.7,73,60.8,49,47.0,12600,17%,7.5,"Chemistry,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Biological Sciences,Electrical & Electronic Engineering,Psychology,Economics & Econometrics,General Engineering,Other Health,Physics & Astronomy,Computer Science,Business & Management,Politics & International Studies (incl Development Studies),Education,History, Philosophy & Theology,Architecture,Civil Engineering,Accounting & Finance,Archaeology,Chemical Engineering,Communication & Media Studies,Law,Art, Performing Arts & Design,Mathematics & Statistics,Sociology,Mechanical & Aerospace Engineering",/world-university-rankings/washington-university-st-louis,
51,Singapore,"Nanyang Technological University, Singapore",634,52,52,90.7,86,94.0,44,95.9,18,70.5,63.0,65,49.5,96,52.0,25499,31%,16.3,"Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Physics & Astronomy,Biological Sciences,Education,Business & Management,Geology, Environmental, Earth & Marine Sciences,Sociology,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Sport Science,Mathematics & Statistics,Chemical Engineering,Medicine & Dentistry,Accounting & Finance,Communication & Media Studies,Chemistry,Languages, Literature & Linguistics,General Engineering,Psychology,History, Philosophy & Theology,Economics & Econometrics,Computer Science,Civil Engineering",/world-university-rankings/nanyang-technological-university-singapore,13259.0
52,United States,"University of California, Santa Barbara",499,53,53,98.8,18,82.0,85,65.4,266,70.0,61.5,72,50.0,90,48.0,23054,14%,28.1,"Accounting & Finance,Chemical Engineering,Education,Geography,Communication & Media Studies,Physics & Astronomy,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Psychology,Art, Performing Arts & Design,History, Philosophy & Theology,Economics & Econometrics,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Sociology,Chemistry,Computer Science,Mathematics & Statistics,Biological Sciences,Languages, Literature & Linguistics",/world-university-rankings/university-california-santa-barbara,11065.0
53,United States,"University of California, Davis",503,=54,54,86.0,142,53.4,241,63.7,278,69.5,64.5,58,60.9,47,44.0,37365,10%,13.8,"Biological Sciences,Civil Engineering,General Engineering,Geography,Physics & Astronomy,Sport Science,Chemistry,History, Philosophy & Theology,Economics & Econometrics,Languages, Literature & Linguistics,Art, Performing Arts & Design,Archaeology,Education,Communication & Media Studies,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Psychology,Computer Science,Agriculture & Forestry,Electrical & Electronic Engineering,Law,Mechanical & Aerospace Engineering,Other Health,Veterinary Science,Politics & International Studies (incl Development Studies),Chemical Engineering,Architecture,Sociology",/world-university-rankings/university-california-davis,16440.0
54,United Kingdom,University of Manchester,512,=54,55,84.3,165,44.1,370,88.7,75,69.5,65.3,56,56.3,65,48.0,35318,38%,14.6,"Accounting & Finance,Education,Archaeology,Electrical & Electronic Engineering,Medicine & Dentistry,Computer Science,Chemistry,Civil Engineering,Sociology,General Engineering,Other Health,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Psychology,Geography,Physics & Astronomy,Mechanical & Aerospace Engineering,Chemical Engineering,Mathematics & Statistics,Architecture,Business & Management,Law,Languages, Literature & Linguistics,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Economics & Econometrics",/world-university-rankings/university-manchester,16952.0
55,United States,University of Minnesota,506,=56,56,87.5,130,90.4,53,37.7,644,69.0,67.9,52,57.6,58,49.0,60949,11%,17.4,"Communication & Media Studies,Medicine & Dentistry,Accounting & Finance,Biological Sciences,Languages, Literature & Linguistics,Sociology,Chemical Engineering,Agriculture & Forestry,Physics & Astronomy,Veterinary Science,Economics & Econometrics,Chemistry,Electrical & Electronic Engineering,Business & Management,Politics & International Studies (incl Development Studies),Architecture,Psychology,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Geography,Law,Sport Science,Art, Performing Arts & Design,Other Health,History, Philosophy & Theology,Mathematics & Statistics,General Engineering,Mechanical & Aerospace Engineering,Computer Science,Education",/world-university-rankings/university-minnesota-0,29865.0
56,United States,University of North Carolina at Chapel Hill,507,=56,57,96.7,41,39.2,511,41.5,590,69.0,61.8,70,57.9,57,44.0,34684,8%,9.7,"Languages, Literature & Linguistics,Economics & Econometrics,Geography,Biological Sciences,Law,Sociology,Politics & International Studies (incl Development Studies),Business & Management,History, Philosophy & Theology,Psychology,Geology, Environmental, Earth & Marine Sciences,Computer Science,Other Health,Mathematics & Statistics,Education,Physics & Astronomy,Communication & Media Studies,Art, Performing Arts & Design,Chemistry,Medicine & Dentistry",/world-university-rankings/university-north-carolina-chapel-hill,15260.0
57,Hong Kong,Chinese University of Hong Kong,616,58,58,80.6,200,56.8,214,86.6,91,68.5,64.4,59,57.0,60,31.0,18072,31%,17.3,"Languages, Literature & Linguistics,Architecture,Other Health,Electrical & Electronic Engineering,Computer Science,Chemistry,Medicine & Dentistry,Economics & Econometrics,Geography,Sport Science,Mathematics & Statistics,Sociology,Politics & International Studies (incl Development Studies),Biological Sciences,Law,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Business & Management,Education,Psychology,General Engineering,Accounting & Finance,Communication & Media Studies,History, Philosophy & Theology",/world-university-rankings/chinese-university-hong-kong,
58,Netherlands,University of Amsterdam,556,59,59,91.9,77,49.9,282,72.2,205,68.4,62.6,66,51.3,85,43.0,23495,12%,12.3,"Mathematics & Statistics,Psychology,Economics & Econometrics,Business & Management,Geography,Accounting & Finance,Chemistry,Biological Sciences,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Law,Languages, Literature & Linguistics,Archaeology,Other Health,History, Philosophy & Theology,Computer Science,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Physics & Astronomy,Communication & Media Studies,Sociology,Education",/world-university-rankings/university-amsterdam,10102.0
59,United States,Purdue University,562,60,60,73.4,286,63.5,172,69.9,225,68.2,68.9,49,62.3,44,58.0,38770,23%,17.4,"Other Health,Communication & Media Studies,Biological Sciences,General Engineering,Chemistry,Sport Science,Geology, Environmental, Earth & Marine Sciences,Psychology,Physics & Astronomy,Geography,Mathematics & Statistics,Civil Engineering,Computer Science,Sociology,Economics & Econometrics,Politics & International Studies (incl Development Studies),Law,Languages, Literature & Linguistics,Business & Management,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Art, Performing Arts & Design,Veterinary Science,Education,Accounting & Finance,Agriculture & Forestry,Architecture,Electrical & Electronic Engineering,Archaeology,Chemical Engineering",/world-university-rankings/purdue-university,22486.0
60,Australia,University of Sydney,522,61,61,85.9,146,67.9,145,84.6,104,67.8,63.1,62,50.2,89,43.0,44553,32%,21.6,"Psychology,Mathematics & Statistics,Education,Computer Science,Other Health,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Sport Science,Biological Sciences,Chemistry,General Engineering,Medicine & Dentistry,Archaeology,Sociology,Communication & Media Studies,Accounting & Finance,Politics & International Studies (incl Development Studies),Law,Economics & Econometrics,Business & Management,Languages, Literature & Linguistics,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Agriculture & Forestry,Geography,Civil Engineering,Chemical Engineering,Electrical & Electronic Engineering,Veterinary Science,Architecture",/world-university-rankings/university-sydney,19157.0
61,Germany,Humboldt University of Berlin,573,62,62,76.1,251,38.6,539,65.6,263,67.4,67.1,53,61.9,45,48.0,32172,17%,56.5,"Law,Archaeology,Art, Performing Arts & Design,Psychology,Chemistry,Mathematics & Statistics,Geography,Biological Sciences,Computer Science,Sport Science,Physics & Astronomy,Education,Medicine & Dentistry,History, Philosophy & Theology,Agriculture & Forestry,Business & Management,Economics & Econometrics,Sociology",/world-university-rankings/humboldt-university-berlin,
